cards_bee.log - 2018-12-07 19:53:45.506710: ['pattern5', '0.18', (0, 12), re.compile('\\d+(.)\\d+\\sseconds')]
cards.log - 2018-12-11 05:03:42.234223: [u'pattern3', '/user/oracle/.password', (0, 22), u'\\/\\w+\\/\\w+\\/\\.\\w+']
cards.log - 2018-12-11 05:03:42.234777: [u'pattern1', '28.1982', (0, 22), u'\\w+\\s\\d+(.)\\d+\\sKB']
cards.log - 2018-12-11 05:11:28.744456: [u'pattern2', '41.5974', (26, 41), u'\\d+(.)\\d+\\sseconds']
cards.log - 2018-12-11 05:11:28.746302: [u'pattern3', '/user/oracle/.password', (0, 22), u'\\/\\w+\\/\\w+\\/\\.\\w+']
cards.log - 2018-12-11 05:11:28.746952: [u'pattern1', '28.1982', (0, 22), u'\\w+\\s\\d+(.)\\d+\\sKB']
cards_bee.log - 2018-12-11 05:11:47.317474: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:11:47.318030: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:11:47.318178: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:11:47.318270: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards.log - 2018-12-11 05:12:25.986543: [u'pattern2', '41.5974', (26, 41), u'\\d+(.)\\d+\\sseconds']
cards.log - 2018-12-11 05:12:25.986942: [u'pattern3', '/user/oracle/.password', (0, 22), u'\\/\\w+\\/\\w+\\/\\.\\w+']
cards.log - 2018-12-11 05:12:25.987049: [u'pattern1', '28.1982', (0, 22), u'\\w+\\s\\d+(.)\\d+\\sKB']
cards_bee.log - 2018-12-11 05:12:34.516850: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:12:34.517098: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:12:34.517271: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:12:34.517671: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:09.353373: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:09.353702: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:09.353808: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:09.353889: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:38.743958: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:38.744133: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:38.747270: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:38.747441: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:41.725119: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:41.725841: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:41.725977: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-11 05:23:41.726076: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
hive_log.out - 2018-12-11 09:22:36.758106: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758307: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758383: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758444: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758500: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758555: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758628: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.758704: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759216: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759262: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759301: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759339: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759376: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759413: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759450: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759486: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759523: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759602: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759667: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759707: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759781: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
hive_log.out - 2018-12-11 09:22:36.759874: [u'pattern6', '1692375649', (0, 23), u'IPC\\sClient\\s\\(\\d+\\)']
cards_bee.log - 2018-12-17 15:25:27.939694: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:27.940717: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:27.940880: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:27.940995: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:40.120978: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:40.121412: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:40.121633: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:40.121801: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:41.287431: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:41.287789: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:41.287919: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:41.287999: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:42.300347: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:42.301023: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:42.301191: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:42.301302: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.018322: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.018944: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.019299: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.019830: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.957259: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.957609: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.957679: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:25:52.957872: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:03.452046: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:03.452253: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:03.452349: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:03.452423: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:04.526108: [u'pattern5', '0.18', (0, 12), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:04.526453: [u'pattern5', '0.213', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:04.526632: [u'pattern5', '0.017', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards_bee.log - 2018-12-17 15:26:04.526752: [u'pattern5', '0.146', (0, 13), u'\\d+(.)\\d+\\sseconds']
cards.log - 2018-12-17 15:26:15.541523: [u'pattern2', '41.5974', (26, 41), u'\\d+(.)\\d+\\sseconds']
cards.log - 2018-12-17 15:26:15.542015: [u'pattern3', '/user/oracle/.password', (0, 22), u'\\/\\w+\\/\\w+\\/\\.\\w+']
cards.log - 2018-12-17 15:26:15.542132: [u'pattern1', '28.1982', (0, 22), u'\\w+\\s\\d+(.)\\d+\\sKB']
